peri-appendicular red patches
    SymPathy                                                           2007-11-14 14:18:35
    M94903        GANGLIONEUROBLASTOM
    M94906        METASTAS GANGLIONEUROBLASTOM
    M95003        NEUROBLASTOM SYMPATOGONIOM
    M95006        METASTAS NEUROBLASTOM
    M95013        MEDULLOEPITELIOM
    M95051        GANGLIOGLIOM
    M95103        RETINOBLASTOM
    M95106        METASTAS RETINOBLASTOM
    M95203        NEUROBLASTOM OLFAKTORISKT
    M95300        MENINGIOM
    M95303        MENINGIOM MALIGNT
    M95350        MENINGIOM ANGIOBLASTISKT
    M95381        MENINGIOM ATYPISKT
    M95400        NEUROFIBROM
    M95401        NEUROFIBROMATOS
    M95403        NEUROFIBROSARKOM
    M95406        METASTAS NEUROFIBROSARKOM
    M95410        NEUROFIBROM MELANOTISKT
    M95500        NEUROFIBROM PLEXIFORMT
    M95600        NEURILEMMOM
    M95601        NEURILEMMOM MAL MISST
    M95603        NEURILEMMOM MALIGNT
    M95606        METASTAS MALIGNT NEURILEMMOM
    M95800        GRANULAR CELL TUMÖR
    M95803        GRANULAR CELL TUMÖR MALIGN
    M95806        METASTAS GRANULAR CELL TUMÖR
    M95813        ALVEOLÄRT MJUKDELSSARKOM
    M95816        METASTAS ALVEOLÄRT MJUKDELSSARKOM
    M95901        MALIGNT LYMFOM UNS MISST
    M95903        MALIGNT LYMFOM UNS
    M95911        MALIGNT LYMFOM NON-HODGKIN MISST
    M95913        MALIGNT LYMFOM NON-HODGKIN
    M95933        B-CELLS LYMFOM
    M95953        T-CELLS LYMFOM
    M96003        MAL LYMFOM LYMFOBLAST NON-BURKITT
    M96023        MAL LYMFOM CONVOLUTED CELL
    M96113        IMMUNOCYTOM
    M96118        ML AV IMMUNOCYTISK TYP I REMISSION
    M96123        MAL LYMFOM IMMUNOBLASTISKT
    M96127        RECIDIV AV MAL IMMUNOBLAST LYMFOM
    M96133        LYMFOCYT-HISTIOCYT MAL LYMFOM DIFFUST
    M96143        MAL LYMFOM CENTROBL-CENTROCYT
    M96153        ML AV CENTROBLASTISK-CENTROCYTISK TYP
    M96203        HÖGT DIFF LYMFOCYT MAL LYMFOM DIFFUST
    M96223        MAL LYMFOM CENTROCYTÄRT
    M96303        LÅGT DIFF LYMFOCYT MAL LYMFOM DIFFUST
    M96323        MAL LYMFOM CENTROBLASTISKT
    M96403        HISTIOC MAL LYMFOM DIFFUST
    M96423        HISTIOCYT MAL LYMFOM NODULÄRT
    M96501        HODGKINS SJD MISST
    M96503        HODGKINS SJD
    M96513        HODGKINS SJD LYMFOCYTIC PREDOMINANCE
    M96523        HODGKINS SJD MIXED CELLULARITY
    M96530        HODGKINS SJUKDOM UNS
    M96533        HODGKINS SJD LYMFOCYTIC DEPLETION
    M96563        HODGKINS SJD NODULAR SCLEROSIS
    M96733        MANTELCELLSLYMFOM
    M96793        MAL LYMFOM, MEDIASTINALT STORCELLIG B-CELLSLYMFOM
    M96893        Mjältlymfom - SLVL
    M96913        LYMFOCYT-HISTIOCYT MAL LYMFOM NODULÄRT
    M96918        NHL UNS I REMISSION
    M96923        ML MED FOLLIKULÄRT VÄXTSÄTT
    M96933        HÖGT DIFF LYMFOCYT MAL LYMFOM NODULÄRT
    M96963        LÅGT DIFF LYMFOCYT MAL LYMFOM NODULÄRT
    M96973        CENTROBLASTLYMF M FOLLIKULÄRT VÄXTSÄTT
    M96993        MALT-LYMFOM
    M97001        MYCOSIS FUNGOID. MISST.
    M97003        MYCOSIS FUNGOIDES
    M97013        SEZARY'S SYNDROM
    M97203        MALIGN HISTIOCYTOS
    M97213        HISTIOCYTÄR MEDULLÄR RETICULOS
    M97223        LETTERER-SIWE
    M97233        ÄKTA HISTIOCYTÄRT LYMFOM
    M97301        MYELOM - MYELOMATOS MISST.
    M97303        MYELOM-MYELOMATOS
    M97308        MYELOM I REMISSION
    M97311        PLASMOCYTOM
    M97400        MASTOCYTOS
    M97401        MASTOCYTOS MAL MISST
    M97403        MALIGN MASTOCYTOS
    M97503        MAL LYMFOM LYMFOBLAST BURKITT
    M98001        LEUKEMI UNS MISST
    M98003        LEUKEMI
    M98013        AKUT LEUKEMI UNS
    M98017        RELAPS AV AKUT LEUKEMI UNS
    M98018        AKUT LEUKEMI UNS I REMISSION
    M98033        KRON LEUKEMI UNS
    M98043        ALEUKEMISK LEUKEMI UNS
    M98203        ALL UNS
    M98207        ALL I RELAPS
    M98208        ALL UNS I REMISSION
    M98213        LYMFOBLASTISK LEUKÄMI
    M98218        ALL TYP L1 I REMISSION
    M98223        ALL TYP L 2
    M98227        ALL TYP L 2 I RELAPS
    M98228        ALL TYP L2 I REMISSION
    M98233        MAL LYMF LYMFOCYT B-KLL
    M98238        AML I REMISSION
    M98253        PROLYMFOCYTLEUKEMI
    M98303        PLASMACELLSLEUKÄMI
    M98373        T-ALL
    M98403        AML TYP M6, AKUT ERYTROID LEUKEMI
    M98413        AKUT ERYTHREMI
    M98603        AML UNS
    M98607        LEUKEMI I RELAPS
    M98608        AML UNS I REMISSION
    M98611        MYELOBLASTISK LEUKÄMI MISST
    M98613        MYELOBLASTISK LEUKÄMI
    M98617        RELAPS AV AML
    M98618        AML TYP M4 I REMISSION
    M98623        AML TYP M1 OCH M2
    M98627        AML TYP M1 I RELAPS
    M98628        AML TYP M1 I REMISSION
    M98633        KRON MYELOISK LEUKEMI
    M98638        KML I REMISSION
    M98663        AML TYP M3
    M98668        AML TYP M3 I REMISSION
    M98703        BASOFIL LEUKÄMI
    M98803        EOSINOFIL LEUKÄMI
    M98903        MONOCYTÄR LEUKÄMI
    M98913        AML TYP M5
    M98917        AML TYP M5 I RELAPS
    M98918        AML TYP M5 I REMISSION
    M98933        CMML
    M98938        CMML I REMISSION
    M99103        AML TYP M7, MEGAKARYOCYTÄR LEUKÄMI
    M99303        GRANULOCYTÄRT SARKOM-CHLOROM
    M99403        LEUK RETIKULOENDOTELIOS
    M99408        HÅRCELLSLEUKEMI I REMISSION
    M99501        POLYCYTÄMIA VERA
    M99511        PANMYELOS AKUT
    M99601        KRON MYELOPROLIFERATIV SJD
    M99611        MYELOSKLEROS M MYELOID METAPLASI
    M99621        TROMBOCYTÄM.ESSENT.
    M99891        MDS
    MBORTA        MBORTA
    MBRE01        BRESLOW <= 0,76 MM
    MBRE02        BRESLOW <= 1,49 MM
    MBRE03        BRESLOW <= 2,99 MM
    MBRE04        BRESLOW >= 3,00 MM
    MCLK01        CLARK 1
    MCLK02        CLARK 2
    MCLK03        CLARK 3
    MCLK04        CLARK 4
    MCLK05        CLARK 5
    MDNAFL        DNA-FLÖDESCYTOMETRI
    MDNAST        DNA-STATISK ANALYS
    MDUKEA        MDUKEA
    MDUKEB        MDUKEB
    MDUKEC        MDUKEC
    MDUKED        MDUKED
    ME1370        HELICOBACTER
    ME3345        HPV pos.
    ME4416        GIARDIA LAMBLIA
    ME7000        ETIOLOGI LÄKEMEDEL
    MEREC0        Östrogenreceptor 0
    MEREC1        Östrogenreceptor +
    MEREC2        Östrogenreceptor ++
    MEREC3        Östrogenreceptor +++
    MFISH         FISH
    MGLE04        GLEASON SCORE 4
    MGLE05        GLEASON SCORE 5
    MGLE06        GLEASON SCORE 6
    MGLE07        GLEASON SCORE 7
    MGLE08        GLEASON SCORE 8
    MGLE09        GLEASON SCORE 09
    MGLE10        GLEASON SCORE 10
    MHLAB27       HLA-B27 analys
    MIMMCY        IMMUNCYTOKEMI
    MIMMFL        IMMUN-FLÖDESCYTOMETRI
    MIMMHI        IMMUNHISTOKEMI
    MINVMU        MUSKELINVASION
    MINVYT        YTLIG INVASION
    MJAK2         JAK2 analys
    MLGL00        MLGL00
    MLGL01        MLGL01
    MLGL02        MLGL02
    MLGL03        MLGL03
    MLGL04        MLGL04
    MLGL05        MLGL05
    MLGL06        MLGL06
    MLGL07        MLGL07
    MLGL08        MLGL08
    MLGL09        MLGL09
    MLGL10        MLGL10
    MLGL11        MLGL11
    MLGL12        MLGL12
    MMET01        MMET01
    MMET02        MMET02
    MMET03        MMET03
    MMET04        MMET04
    MMET05        MMET05
    MMET06        MMET06
    MMET07        MMET07
    MMET08        MMET08
    MMET09        MMET09
    MMET10        MMET10
    MMET12        MMET12
    MMFISH        FISH
    MN0000        N0
    MN1000        N1
    MN2000        N2
    MN3000        MN3000
    MNJURE        MNJURE
    MpN0          pN0
    MPN0I0        pN0
    MpN100        pN1
    MPN1MI        MIKROMETASTASER
    MpN2          pN2
    MPN200        pN2
    MPREC0        Progesteronreceptor 0
    MPREC1        Progesteronreceptor +
    MPREC2        Progesteronreceptor ++
    MPREC3        Progesteronreceptor +++
    Mpt100        pT1
    MpT1a         pT1a
    MPT1A0        pT1A
    MPT1B0        pT1b
    MpT2          pT2
    mpt200        pT2
    MPT300        pT3
    mpt3b0        pT3b
    Mpt400        pT4
    MPTA00        pTa
    MPTIS0        pTis
    MSKISS        SKISS ##########
    MSTORS        STORSNITT############
    MSTR05        STORLEK <= 5 MM
    MSTR10        STORLEK <= 10 MM
    MSTR15        STORLEK <= 15 MM
    MSTR20        STORLEK <= 20 MM
    MSTR25        STORLEK <= 25 MM
    MSTR30        STORLEK <= 30 MM
    MSTR99        STORLEK >= 31 MM
    MSTUDIE       FORSKNINGSSTUDIE
    MXXXXX        DIAGNOSFÖRSLAG
    MYY001        1 GLAS
    MYY002        2 GLAS
    MYY003        3 GLAS
    MYY004        4 GLAS
    MYY005        5 GLAS
    MYY006        6 GLAS
    MYY007        7 GLAS
    MYY008        8 GLAS
    MYY009        9 GLAS
    MYY010        10 GLAS
    MYY011        11 GLAS
    MYY012        12 GLAS
    MYY013        13 GLAS
    MYY014        14 GLAS
    MYY015        15 GLAS
    MYY016        16 GLAS
    MYY017        17 GLAS
    MYY018        18 GLAS
    MYY050        LAPSCORE NORMALT
    MYY051        LAPSCORE FÖRHÖJT
    MYY052        LAPSCORE SÄNKT
    MYY053        KVANTIFIERING AV STAMCELLER
    MYY054        DIFF RÄKNING AV MÄRGUTSTRYK, FULLSTÄNDIG
    MYY055        DIFF RÄKNING AV MÄRGUTSTRYK, ENKEL
    MYY056        CYTOKEMI, PAS-FÄRGNING
    MYY057        YTMARKÖRANALYS, BEGRÄNSAD PANEL
    MYY101        EFTERGRANSKAD, ATYPIGRAD HÖJD
    MYY102        EFTERGRANSKAD, ATYPIGRAD SÄNKT
    MYY103        EFTERGRANSKAT, DIAGNOS OFÖRÄNDRAD
    MYY104        EFTERGRANSKAD, DIAGNOS ÄNDRAD
    MYY105        EFTERGR EXTERNT, DIAGNOS OF
    MYY106        EFTERGR EXTERNT, DIAGNOS ÄNDRAD
    MYYOO1        1 GLAS
    MYYY30        PROVET EJ REPRESENTATIVT FÖR ENDOCERVIX.
    pT3           pT3
    TX11200       Dura  Mater
    V01           ADERNOCARCINOM
    V02           OKLAR ATYPI
    V03           ATROFISK CELLBILD
    V04           NÄRMARE BEDÖMNING EJ MÖJLIG.
    V05           BENIGNT CELLFYND
    V06           CYTOLOGISK BILD FÖRENLIG MED LÄTT DYSPLASI (CIN 1)
    V07           CYTOLOGISK BILD FÖRENLIG MED MÅTTLIG DYSPLASI (CIN 2)
    V08           CYTOLOGISK BILD FÖRENLIG MED GRAV DYSPLASI/CIS (CIN 3)
    V09           TROLIGEN CYTOSTATIKA - EL LÄKEMEDELSBETINGADE FÖRÄNDR
    V10           BILD SOM VID FOLLIKULÄR CERVICIT
    V11           CELLFÖRÄNDRINGAR AV HERPESTYP
    V12           INFLAMMATORISKA CELLFÖRÄNDRINGAR
    V13           CYTOLOGISK BILD FÖRENLIG MED INVASIV SKIVEPITELCANCER
    V14           TECKEN PÅ HPV-INFEKTION.
    V15           LÄTT KÖRTELCELLSATYPI
    V16           LÄTT SKIVEPITELATYPI
    V17           MISSTANKE PÅ ADENOCARCINOM
    V18           CYTOLOGISK BILD FÖRENLIG MED MALIGNT LYMFOM
    V19           MALIGNITET (OKLAR TYP)
    V20           MISSTANKE PÅ INVASIV SKIVEPITELCANCER
    V21           MISSTANKE PÅ MALIGNITET (OKLAR TYP)
    V22           MISSTANKE PÅ MALIGNT LYMFOM
    V23           NORMALT CYTOLOGISKT FYND
    V24           CANCER UNS, IN SITU
    V25           BILD SOM VID REPARITIV EPITELPROCESS
    V26           TROLIGEN STRÅLBETINGADE CELLFÖRÄNDRINGAR
    V27           SVÅRVÄRDERAD KÖRTELCELLSATYPI (KONTROLLFALL)
    V28           SVÅRVÄRDERAD SKIVEPITELATYPI (KONTROLLFALL)
    V29           AKUT INFLAMMATION
    V30           KRONISK INFLAMMATION
    V31           AKUT OCH KRONISK INFLAMMATION
    V32           INGA HÅLLPUNKTER FÖR MALIGNITET
    V33           OSPECIFIK INFLAMMATION
    V34           PROVET EJ REPRESENTATIVT FÖR ENDOCERVIX.
